competition,date_scraped,season,team,player,points,try_scored,conversion,penalty_goal,drop_goal,carries,metres_made,clean_break,defender_beaten,offload,tackle,missed_tackle,turnovers_conceded,penalty_conceded,yellow_card,red_card,lineout_throws_won
United Rugby Championship,2026-07-12,2025/26,Munster,Jean Kleyn,5,1,,,,94,125,,3,1,133,7,8,6,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Jean Smith,38,,16,2,,27,103,3,5,3,21,7,11,1,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Jeandre Rudolph,5,1,,,,110,602,1,13,6,146,12,5,9,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Jeremy Loughman,,,,,,70,53,,3,3,134,10,7,14,,,1
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Jerry Blyth-Lafferty,,,,,,12,7,,1,2,25,3,2,1,,,15
United Rugby Championship,2026-07-12,2025/26,Leinster,Jerry Cahir,5,1,,,,39,34,,1,,60,9,1,5,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Jimmy O'Brien,25,5,,,,131,691,10,30,19,51,16,22,2,,,2
United Rugby Championship,2026-07-12,2025/26,Cardiff,Joe Cowell,,,,,,2,1,,,,2,,,,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Joe Hawkins,41,,16,3,,49,137,,9,1,74,20,11,,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Joe Hopes,,,,,,24,39,,1,,81,6,1,3,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Joe Joyce,5,1,,,,58,74,1,4,2,124,7,1,9,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Joe McCarthy,15,3,,,,67,136,1,15,6,86,3,4,6,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Joe Roberts,30,6,,,,90,374,7,17,14,89,19,13,9,2,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Joe Westwood,,,,,,4,5,,,1,12,1,2,1,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Johan Mulder,10,2,,,,43,209,5,15,4,98,16,18,6,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Johann Grobbelaar,50,10,,,,119,281,3,8,2,195,18,14,9,,,173
United Rugby Championship,2026-07-12,2025/26,Ulster,John Andrew,5,1,,,,5,10,,,,2,1,,,,,3
United Rugby Championship,2026-07-12,2025/26,Benetton,John Bryant,,,,,,12,32,1,1,2,21,5,1,1,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,John Devine,5,1,,,,30,95,2,3,,30,9,1,4,,,
United Rugby Championship,2026-07-12,2025/26,Munster,John Hodnett,25,5,,,,51,223,1,19,3,95,12,2,3,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,John McKee,,,,,,45,83,2,2,,52,5,2,4,,,40
United Rugby Championship,2026-07-12,2025/26,Munster,John Ryan,,,,,,27,15,,1,,57,4,1,9,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Johnny Matthews,25,5,,,,72,282,2,11,2,86,9,6,2,,,109
United Rugby Championship,2026-07-12,2025/26,Glasgow,Johnny Ventisei,,,,,,7,31,,,1,5,,1,,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Johnny Williams,5,1,,,,88,153,2,8,10,77,17,4,6,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Jonathan Roche,,,,,,24,110,,4,2,39,3,1,1,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Jonny Scott,,,,,,15,42,,7,3,4,5,,,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Jordan Duggan,,,,,,26,20,,,,42,2,2,3,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Jordan Hendrikse,43,,17,3,,62,201,1,15,10,51,9,16,8,1,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Jordan Larmour,10,2,,,,31,206,5,13,1,13,5,4,5,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Jordan Morris,,,,,,6,7,,1,,27,1,2,4,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Josh Adams,35,7,,,,60,316,6,13,3,47,7,20,3,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Josh Ericson,,,,,,,,,,,1,,,,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Josh Ioane,19,3,2,,,121,569,8,41,11,94,28,13,1,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Josh Macleod,15,3,,,,64,102,1,4,4,112,12,7,10,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Josh McKay,15,3,,,,163,873,8,47,19,29,9,16,6,1,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Josh McNally,5,1,,,,98,133,1,6,2,127,13,6,14,1,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Josh Morse,,,,,,21,32,,2,2,26,2,3,4,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Josh Murphy,5,1,,,,126,217,1,1,,173,7,8,13,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Josh Wycherley,,,,,,26,19,,2,,44,7,4,5,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Josh van der Flier,20,4,,,,78,192,2,10,2,98,6,9,3,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Joshua Kenny,45,9,,,,59,435,5,14,1,34,9,13,3,,,1
United Rugby Championship,2026-07-12,2025/26,Zebre,Juan Pitinari,5,1,,,,41,39,,,1,60,5,1,10,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Juann Else,5,1,,,,2,9,,,,9,1,1,1,,,6
United Rugby Championship,2026-07-12,2025/26,Ulster,Juarno Augustus,10,2,,,,112,343,1,26,4,122,7,7,2,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Jude Postlethwaite,,,,,,74,333,5,20,14,68,13,5,2,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Jurenzo Julius,20,4,,,,53,433,8,29,1,42,16,12,2,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Jurie Matthee,92,2,14,18,,47,279,7,19,6,42,14,14,2,1,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Keagan Johannes,50,2,14,3,1,25,216,2,9,1,22,2,13,,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Keelan Giles,25,5,,,,86,464,7,22,4,46,10,7,5,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Keiran Williams,25,5,,,,146,422,6,28,7,118,21,10,6,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Keiron Assiratti,,,,,,28,10,,,,58,7,3,19,1,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Keketso Morabe,5,1,,,,7,22,,,,5,2,1,,,,
United Rugby Championship,2026-07-12,2025/26,Lions,Kelly Mpeku,15,3,,,,39,268,5,10,5,40,5,7,1,,,1
United Rugby Championship,2026-07-12,2025/26,Scarlets,Kemsley Mathias,,,,,,86,84,,3,1,115,14,3,11,1,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Kerr Johnston,,,,,,4,15,,,,5,2,,,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Kerr Yule,,,,,,24,52,,2,,17,4,3,,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Khutha Mchunu,,,,,,4,11,,,,15,1,,2,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Kian Hire,,,,,,12,13,,,1,11,3,,4,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Kieran Hardy,25,5,,,,34,207,3,4,5,34,6,6,2,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Kirby Myhill,,,,,,3,,,,,2,1,,,,,9
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Kurt-Lee Arendse,15,3,,,,90,573,9,29,8,40,7,17,7,,,1
United Rugby Championship,2026-07-12,2025/26,Glasgow,Kyle Rowe,30,6,,,,119,804,12,49,4,70,17,20,5,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Kyle Steyn,35,7,,,,103,658,14,40,2,57,12,24,7,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Le Roux Malan,10,2,,,,18,88,1,1,3,17,2,1,,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Lee Barron,10,2,,,,45,126,2,1,2,94,4,2,6,,,68
United Rugby Championship,2026-07-12,2025/26,Sharks,Lee-Marvin Mazibuko,5,1,,,,7,4,,,,14,2,,2,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Leigh Halfpenny,,,,,,2,10,,,,4,,,,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,Leolin Zas,10,2,,,,82,560,15,35,11,58,35,20,7,1,,1
United Rugby Championship,2026-07-12,2025/26,Zebre,Leonardo Krumov,,,,,,37,50,1,3,4,98,8,7,8,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Leonardo Marin,,,,,,36,135,2,12,7,65,16,11,3,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Levi Douglas,5,1,,,,83,97,1,6,2,84,7,2,12,1,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Lewis Jones,,,,,,1,,,,,5,,,,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Lewis Lloyd,5,1,,,,35,98,2,4,,42,6,3,1,,,34
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Lewis Wells,5,1,,,,16,102,2,3,2,9,4,4,,,,1
United Rugby Championship,2026-07-12,2025/26,Cardiff,Liam Belcher,5,1,,,,136,288,2,7,,172,15,4,9,2,,135
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Liam McConnell,5,1,,,,68,140,1,6,2,147,19,7,12,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Litelihle Bester,5,1,,,,24,113,3,4,3,5,2,6,1,,,
