competition,date_scraped,season,team,player,points,try_scored,conversion,penalty_goal,drop_goal,carries,metres_made,clean_break,defender_beaten,offload,tackle,missed_tackle,turnovers_conceded,penalty_conceded,yellow_card,red_card,lineout_throws_won
United Rugby Championship,2026-07-12,2025/26,Scarlets,Ioan Nicholas,,,,,,18,92,,3,,4,6,3,,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Ion Neculai,,,,,,17,29,,,1,28,3,3,5,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Iori Badham,,,,,,3,8,,,,9,1,1,,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Ivan Nemer,,,,,,7,10,,,,18,1,,1,,,
United Rugby Championship,2026-07-12,2025/26,Cardiff,Iwan Stephens,,,,,,5,36,,1,,5,5,3,,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,JC Mars,,,,,,3,7,,1,,,,2,,,,
United Rugby Championship,2026-07-12,2025/26,Lions,JC Pretorius,,,,,,16,147,3,14,1,31,2,4,1,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,JD Schickerling,5,1,,,,53,84,1,6,3,93,6,5,5,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,JF van Heerden,,,,,,38,77,,,,35,7,1,6,,,1
United Rugby Championship,2026-07-12,2025/26,Munster,JJ Hanrahan,40,,14,4,,44,137,1,7,4,83,23,5,3,,,
United Rugby Championship,2026-07-12,2025/26,DHL Stormers,JJ Kotze,5,1,,,,31,107,2,7,1,69,7,6,3,,,108
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,JJ Theron,,,,,,26,94,,3,2,52,6,3,1,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Jac Davies,,,,,,27,121,1,6,,10,5,2,4,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,Jac Lloyd,,,,,,8,,,,,5,5,2,1,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Jac Morgan,10,2,,,,47,144,2,10,,72,7,5,5,1,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Jac Price,,,,,,19,15,,,,53,6,2,3,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Jack Aungier,5,1,,,,38,32,1,6,3,74,5,1,6,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Jack Boyle,,,,,,27,47,1,5,1,31,4,1,12,,,
United Rugby Championship,2026-07-12,2025/26,Edinburgh,Jack Brown,,,,,,27,127,1,7,,12,9,4,2,,,
United Rugby Championship,2026-07-12,2025/26,Connacht,Jack Carty,,,,,,28,81,1,7,1,49,15,4,4,,,
United Rugby Championship,2026-07-12,2025/26,Leinster,Jack Conan,5,1,,,,70,208,4,10,5,59,3,2,1,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Jack Crowley,64,2,21,3,1,49,196,3,11,2,75,9,14,2,1,,1
United Rugby Championship,2026-07-12,2025/26,Glasgow,Jack Dempsey,5,1,,,,116,412,4,19,6,75,11,7,4,1,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Jack Murphy,30,1,11,1,,40,112,2,8,1,84,37,17,8,,,
United Rugby Championship,2026-07-12,2025/26,Munster,Jack O'Donoghue,15,3,,,,72,148,3,6,3,123,13,9,6,,,
United Rugby Championship,2026-07-12,2025/26,Glasgow,Jack Oliver,,,,,,3,2,,1,,3,5,1,1,,,
United Rugby Championship,2026-07-12,2025/26,Ospreys,Jack Walsh,26,2,8,,,132,574,5,24,16,87,21,16,6,,,
United Rugby Championship,2026-07-12,2025/26,Vodacom Bulls,Jaco Grobbelaar,,,,,,7,13,,,,4,,2,2,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Jaco Williams,20,4,,,,26,178,3,7,3,12,8,5,1,,,1
United Rugby Championship,2026-07-12,2025/26,Cardiff,Jacob Beetham,15,3,,,,95,383,9,12,2,63,17,21,6,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Jacob Stockdale,,,,,,88,523,5,40,9,26,9,15,4,,,
United Rugby Championship,2026-07-12,2025/26,Benetton,Jacob Umaga,96,1,20,17,,95,496,6,17,7,72,27,21,1,,1,
United Rugby Championship,2026-07-12,2025/26,Zebre,Jacopo Bianchi,,,,,,23,51,,2,2,79,7,1,5,,,
United Rugby Championship,2026-07-12,2025/26,Zebre,Jacopo Trulla,15,3,,,,5,67,1,2,,9,2,2,,,,
United Rugby Championship,2026-07-12,2025/26,Sharks,Jaden Hendrikse,4,,2,,,20,70,,1,3,51,16,6,3,,,1
United Rugby Championship,2026-07-12,2025/26,Benetton,Jadin Kingi,,,,,,32,35,,3,1,47,4,1,1,,,
United Rugby Championship,2026-07-12,2025/26,Scarlets,Jake Ball,,,,,,60,71,,1,,65,5,4,9,,,
United Rugby Championship,2026-07-12,2025/26,Ulster,Jake Flannery,24,2,7,,,33,148,3,5,6,34,8,14,1,,,
United Rugby Championship,2026-07-12,2025/26,Dragons,James Benjamin,,,,,,4,,,,,7,,,,,,7
