Player,Rank,Team,carries,clean-break,conversion,defender-beaten,drop-goal,lineout-steals,lineout-throws-won,lineouts-lost,metres-made,missed-tackle,offload,penalty-conceded,penalty-goal,points,red-card,scrums-lost,scrums-won,tackle,try-scored,turnover-won,turnovers-conceded,yellow-card
Angus Bell,222,Ulster,90,1,,11,,,,,146,4,2,8,,10,,,,78,2,,3,
Mike Lowry,223,Ulster,85,7,,22,,,,,530,7,11,5,,10,,,,21,2,,7,
David McCann,224,Ulster,108,5,,16,,,,,295,7,4,8,,10,,,,160,2,,14,
Rob Herring,225,Ulster,59,1,,7,,,75,,107,13,,5,,10,,,,69,2,,1,
Ben Murphy,226,Connacht,42,3,,10,,,,,163,17,3,5,,10,,,,31,2,,11,
Byron Ralston,227,Connacht,20,2,,6,,,,,56,3,2,1,,10,,,,12,2,,2,
Sam Lousi,228,Scarlets,56,1,,1,,,,,105,2,5,10,,10,,,,130,2,,8,
Eddie James,229,Scarlets,58,2,,15,,,,,178,10,5,3,,10,,,,72,2,,5,
Tom Rogers,230,Scarlets,75,9,,20,,,2,,438,21,10,3,,10,,,,61,2,,6,
Max Douglas,231,Scarlets,61,1,,7,,,,,151,14,6,13,,10,,,,154,2,,9,
Alessandro Fusco,232,Zebre,47,,,11,,,,,149,14,5,7,,10,,,,52,2,,9,1
Giulio Bertaccini,233,Zebre,64,4,,17,,,,,301,11,7,6,,10,,,,99,2,,5,
Malik Faissal,234,Zebre,27,3,,13,,,1,,174,5,2,1,,10,,,,30,2,,4,
Thomas Dominguez,235,Zebre,21,1,,2,,,,,69,22,3,1,,10,,,,42,2,,3,
Marco Zanon,236,Zebre,68,,,19,,,,,195,8,9,2,,10,,,,64,2,,6,
Matteo Nocera,237,Zebre,42,,,2,,,,,53,16,2,10,,10,,,,67,2,,2,
Mirko Belloni,238,Zebre,66,11,,40,,,,,505,18,7,5,,10,,,,50,2,,17,
Danny Southworth,239,Cardiff,80,,,5,,,1,,90,12,1,3,,10,,,,114,2,,5,
Dan Thomas,240,Cardiff,85,2,,8,,,,,167,35,7,14,,10,,,,246,2,,10,
Taulupe Faletau,241,Cardiff,50,1,,11,,,,,206,2,3,1,,10,,,,38,2,,2,
Johan Mulder,242,Cardiff,43,5,,15,,,,,209,16,4,6,,10,,,,98,2,,18,
Taine Basham,243,Cardiff,126,6,,29,,,,,397,10,1,8,,10,,,,144,2,,9,
Evan Lloyd,244,Cardiff,41,3,,9,,,38,,132,7,2,3,,10,,,,55,2,,2,
Bautista Bernasconi,245,Benetton,47,,,7,,,91,,87,22,,8,,10,,,,116,2,,9,1
Aneurin Owen,246,Dragons,115,2,,22,,,,,294,20,5,3,,10,,,,170,2,,6,
Thomas Young,247,Dragons,66,1,,20,,,,,215,8,2,13,,10,,,,114,2,,8,
Ben Carter,248,Dragons,54,,,2,,,,,54,6,,10,,10,,,,173,2,,4,
Fine Inisi,249,Dragons,65,9,,22,,,,,282,5,11,4,,10,,,,85,2,,9,
